car,displacement,cylinders,mileage,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,wheelbase,price,bts
Tata Nano Genx Xt,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,292667,Hat
Tata Nano Genx Xe,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,236447,Hat
Tata Nano Genx Xta,624,2,21.9,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,334768,Hat
Tata Nano Genx Xm,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,272223,Hat
Tata Nano Genx Xma,624,2,21.9,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,314815,Hat
Datsun Redi-Go D,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,279650,Hat
Datsun Redi-Go T,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,351832,Hat
Datsun Redi-Go A,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,333419,Hat
Datsun Redi-Go S,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,362000,Hat
Datsun Redi-Go 1.0 S,999,3,22.5,28.0,1,1541.0,3429.0,1560.0,1,5,67.07,91,5,2348,390000,Hat
Datsun Redi-Go 1.0 S Amt,999,3,23.0,28.0,1,1541.0,3429.0,1560.0,1,5,67.07,91,5,2348,437065,Hat
Renault Kwid Rxe 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2422,353290,Hat
Renault Kwid Std 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2442,283290,Hat
Renault Kwid Rxl 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2422,383290,Hat
Renault Kwid Rxt 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1580.0,1,5,53.26,72,5,2422,413290,Hat
Renault Kwid Rxt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,433290,Hat
Renault Kwid Climber 1.0 Mt,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,454490,Hat
Renault Kwid Rxt Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,463290,Hat
Renault Kwid Climber Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,484490,Hat
Renault Kwid Rxt (O) 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,440990,Hat
Renault Kwid Rxt (O) Amt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,470990,Hat
Renault Kwid Climber (O) Mt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,462190,Hat
Renault Kwid Climber (O) Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,492190,Hat
Maruti Suzuki Eeco 5 Str,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.0,101,5,2350,352136,MPV
Maruti Suzuki Eeco 7 Str,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.99,101,7,2350,380573,MPV
Maruti Suzuki Eeco 5 Str With Ac+Htr,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.0,101,5,2350,392967,MPV
Maruti Suzuki Alto K10 Lxi,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,377588,Hat
Maruti Suzuki Alto K10 Vxi,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,394036,Hat
Maruti Suzuki Alto K10 Lx,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,360843,Hat
Maruti Suzuki Alto K10 Vxi (O),998,3,24.07,35.0,1,1460.0,3620.0,1475.0,1,5,67.07,90,5,2360,407238,Hat
Maruti Suzuki Alto K10 Vxi Amt (O),998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,438559,Hat
Datsun Go D,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,374990,Hat
Datsun Go T,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,468229,Hat
Datsun Go T (O),1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,502492,Hat
Datsun Go A (O),1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,499990,Hat
Datsun Go A,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,469990,Hat
Datsun Go T Vdc,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,528464,Hat
Datsun Go T (O) Vdc,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,553015,Hat
Datsun Go T Cvt,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,76.93,104,5,2450,594464,Hat
Datsun Go T (O) Cvt,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,76.93,104,5,2450,618015,Hat
Maruti Suzuki Celerio Tour H2,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,422444,Hat
Hyundai Santro Era Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,429990,Hat
Hyundai Santro Magna Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,503990,Hat
Hyundai Santro Magna Amt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,530990,Hat
Hyundai Santro Sportz Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,512990,Hat
Hyundai Santro Sportz Amt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,570990,Hat
Hyundai Santro Asta Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,556490,Hat
Tata Tiago Revotron Xe,1199,3,23.0,35.0,1,1535.0,3765.0,1677.0,1,5,84.82,114,5,2400,460000,Hat
Tata Tiago Revotron Xt,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,520000,Hat
Tata Tiago Revotron Xz,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,570000,Hat
Tata Tiago Revotron Xz Plus,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,599000,Hat
Tata Tiago Revotron Xz Plus Dual Tone,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,610000,Hat
Tata Tiago Revotron Xza,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,620000,Hat
Tata Tiago Revotron Xza Plus,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,649000,Hat
Tata Tiago Revotron Xza Plus Dual Tone,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,660000,Hat
Maruti Suzuki Celerio X Vxi (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,481074,Hat
Maruti Suzuki Celerio X Vxi,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,475198,Hat
Maruti Suzuki Celerio X Vxi Amt,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,518198,Hat
Maruti Suzuki Celerio X Vxi Amt (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,524074,Hat
Maruti Suzuki Celerio X Zxi,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,499734,Hat
Maruti Suzuki Celerio X Zxi (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,540350,Hat
Maruti Suzuki Celerio X Zxi Amt,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,542735,Hat
Maruti Suzuki Celerio X Zxi Amt (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,552350,Hat
Maruti Suzuki Ignis Alpha 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,713898,Hat
Maruti Suzuki Ignis Alpha 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,666898,Hat
Maruti Suzuki Ignis Delta 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,607841,Hat
Maruti Suzuki Ignis Delta 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,560841,Hat
Maruti Suzuki Ignis Sigma 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,483320,Hat
Maruti Suzuki Ignis Zeta 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,630320,Hat
Maruti Suzuki Ignis Zeta 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,583320,Hat
Renault Triber Rxe,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,495000,MUV
Renault Triber Rxl,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,559000,MUV
Renault Triber Rxt,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,609000,MUV
Renault Triber Rxz,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,663000,MUV
Premier Rio Gx,1173,4,16.0,46.0,1,1730.0,3970.0,1570.0,4,5,74.96,103,5,2420,506000,SUV
Premier Rio Ex,1489,4,16.0,46.0,2,1730.0,3970.0,1570.0,4,5,63.12,152,5,2420,568623,SUV
Premier Rio Glx,1173,4,16.0,46.0,1,1730.0,3970.0,1570.0,4,5,74.96,103,5,2420,670000,SUV
Premier Rio Dx,1489,4,16.0,46.0,2,1730.0,3970.0,1570.0,4,5,63.12,152,5,2420,603000,SUV
Premier Rio Lx,1489,4,16.0,46.0,2,1730.0,3970.0,1570.0,4,5,63.12,152,5,2420,739000,SUV
Premier Rio Crdi4,1248,4,23.7,46.0,2,1730.0,3970.0,1570.0,4,5,71.02,183,5,2420,739000,SUV
Toyota Etios Liva G,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,520300,Hat
Toyota Etios Liva V,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,581000,Hat
Toyota Etios Liva Gd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,647800,Hat
Toyota Etios Liva Vx,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,630000,Hat
Toyota Etios Liva Vxd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,745000,Hat
Toyota Etios Liva Vd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,704000,Hat
Toyota Etios Liva Dual Tone V,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,597700,Hat
Toyota Etios Liva Dual Tone Vd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,720700,Hat
Toyota Etios Liva Dual Tone Vx,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,641700,Hat
Toyota Etios Liva Dual Tone Vxd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,756700,Hat
Toyota Etios Liva Gx,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,558400,Hat
Toyota Etios Liva Gxd,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,686000,Hat
Toyota Etios Liva Vx Dual Tone Limited Edition,1197,4,18.16,45.0,1,1510.0,3884.0,1695.0,1,5,78.91,104,5,2460,662700,Hat
Toyota Etios Liva Vxd Dual Tone Limited Edition,1364,4,23.59,45.0,2,1510.0,3884.0,1695.0,1,5,67.07,170,5,2460,777700,Hat
Nissan Micra Active Xl,1198,3,18.97,41.0,1,1530.0,3801.0,1665.0,1,5,67.07,104,5,2450,525021,Hat
Nissan Micra Active Xv,1198,3,19.49,41.0,1,1530.0,3801.0,1665.0,1,5,67.07,104,5,2450,599950,Hat
Nissan Micra Active Xl (O),1198,3,18.97,41.0,1,1530.0,3801.0,1665.0,1,5,67.07,104,5,2450,563133,Hat
Tata Bolt Xt Diesel,1248,4,22.95,44.0,2,1562.0,3825.0,1695.0,1,5,73.97,190,5,2470,787980,Hat
Tata Bolt Xe Diesel,1248,4,22.95,44.0,2,1562.0,3825.0,1695.0,1,5,73.97,190,5,2470,661111,Hat
Tata Bolt Xm Diesel,1248,4,22.95,44.0,2,1562.0,3825.0,1695.0,1,5,73.97,190,5,2470,693798,Hat
Tata Bolt Xms Diesel,1248,4,22.95,44.0,2,1562.0,3825.0,1695.0,1,5,73.97,190,5,2470,719661,Hat
Tata Bolt Xt Petrol,1193,4,17.57,44.0,1,1562.0,3825.0,1695.0,1,5,88.77,140,5,2470,674960,Hat
Tata Bolt Xe Petrol,1193,4,17.57,44.0,1,1562.0,3825.0,1695.0,1,5,88.77,140,5,2470,529035,Hat
Tata Bolt Xm Petrol,1193,4,17.57,44.0,1,1562.0,3825.0,1695.0,1,5,88.77,140,5,2470,590268,Hat
Tata Bolt Xms Petrol,1193,4,17.57,44.0,1,1562.0,3825.0,1695.0,1,5,88.77,140,5,2470,614515,Hat
Hyundai Xcent Prime T,1197,4,15.7,43.0,1,1520.0,3995.0,1660.0,5,4,81.86,114,5,2425,536859,Sed
Hyundai Xcent Prime T+ Crdi,1197,4,20.14,43.0,2,1520.0,3995.0,1660.0,5,4,69.04,114,5,2425,639616,Sed
Hyundai Xcent Prime T Crdi,1197,4,20.0,43.0,2,1520.0,3995.0,1660.0,5,4,70.03,114,5,2425,620297,Sed
Maruti Suzuki Dzire Tour Ldi,1248,4,28.4,42.0,2,1555.0,3995.0,1695.0,5,4,73.97,190,5,2430,653523,Sed
Maruti Suzuki Dzire Tour Lxi,1197,4,22.0,42.0,1,1555.0,3995.0,1695.0,5,4,81.86,115,5,2430,553423,Sed
Hyundai Elite I20 Era 1.2,1197,4,18.6,45.0,1,1505.0,3995.0,1710.0,1,5,82.85,115,5,2525,559693,Hat
Hyundai Elite I20 Era 1.4 Crdi,1396,4,22.54,45.0,2,1505.0,3985.0,1734.0,1,5,88.77,220,5,2570,697803,Hat
Hyundai Elite I20 Magna Plus,1197,4,18.6,45.0,1,1505.0,3985.0,1734.0,1,5,82.85,115,5,2570,634950,Hat
Hyundai Elite I20 Magna Plus Crdi,1396,4,22.54,45.0,2,1505.0,3985.0,1734.0,1,5,88.77,220,5,2570,770803,Hat
Hyundai Elite I20 Sportz Plus,1197,4,18.6,45.0,1,1505.0,3985.0,1734.0,1,5,82.85,115,5,2570,721693,Hat
Hyundai Elite I20 Sportz Plus Crdi Dual Tone,1396,4,22.54,45.0,2,1505.0,3985.0,1734.0,1,5,88.77,220,5,2570,876103,Hat
Hyundai Elite I20 Asta (O) 1.2,1197,4,18.15,45.0,1,1505.0,3995.0,1734.0,1,5,82.85,114,5,2570,808993,Hat
Hyundai Elite I20 Asta (O) Crdi,1396,4,22.54,45.0,2,1505.0,3985.0,1734.0,1,5,88.77,220,5,2570,934003,Hat
Hyundai Elite I20 Asta (O) Cvt,1197,4,18.6,45.0,1,1505.0,3985.0,1734.0,1,5,81.86,115,5,2570,920993,Hat
Hyundai Elite I20 Sportz Plus Dual Tone,1197,4,18.6,45.0,1,1505.0,3985.0,1734.0,1,5,82.85,115,5,2570,751693,Hat
Hyundai Elite I20 Sportz Plus Cvt,1197,4,18.6,45.0,1,1505.0,3985.0,1734.0,1,5,82.85,115,5,2570,831693,Hat
Hyundai Elite I20 Sportz Plus Crdi,1396,4,22.54,45.0,2,1505.0,3985.0,1734.0,1,5,88.77,220,5,2570,846103,Hat
Volkswagen Polo Trendline 1.0L (P),999,3,18.78,45.0,1,1469.0,3971.0,1682.0,1,5,74.96,95,5,2469,582000,Hat
Volkswagen Polo Comfortline 1.0 (P),999,3,18.78,45.0,1,1469.0,3971.0,1682.0,1,5,74.96,95,5,2469,676500,Hat
Volkswagen Polo Highline Plus 1.0 (P),999,3,18.78,45.0,1,1469.0,3971.0,1682.0,1,5,74.96,95,5,2469,776500,Hat
Volkswagen Polo Trendline 1.5L (D),1498,4,20.14,45.0,2,1469.0,3971.0,1682.0,1,5,88.77,230,5,2469,734500,Hat
Volkswagen Polo Comfortline 1.5 (D),1498,4,20.14,45.0,2,1469.0,3971.0,1682.0,1,5,88.77,230,5,2469,851500,Hat
Volkswagen Polo Highline Plus 1.5 (D),1498,4,20.14,45.0,2,1469.0,3971.0,1682.0,1,5,88.77,230,5,2469,931500,Hat
Volkswagen Polo Gt Tsi,1197,4,17.21,45.0,1,1469.0,3971.0,1682.0,1,5,103.56,175,5,2469,976000,Hat
Volkswagen Polo Gt Tdi,1498,4,19.91,45.0,2,1469.0,3971.0,1682.0,1,5,108.5,250,5,2469,988500,Hat
Maruti Suzuki Dzire Lxi,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,582613,Sed
Maruti Suzuki Dzire Vxi,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,673112,Sed
Maruti Suzuki Dzire Ldi,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,666622,Sed
Maruti Suzuki Dzire Zxi,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,732113,Sed
Maruti Suzuki Dzire Vdi,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,757622,Sed
Maruti Suzuki Dzire Vxi Amt,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,720112,Sed
Maruti Suzuki Dzire Zdi Amt,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,863122,Sed
Maruti Suzuki Dzire Zdi,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,816622,Sed
Maruti Suzuki Dzire Zxi Plus,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,821613,Sed
Maruti Suzuki Dzire Zxi At,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,779113,Sed
Maruti Suzuki Dzire Zxi Plus Amt,1197,4,22.0,37.0,1,1515.0,3995.0,1735.0,5,4,82.85,115,5,2450,868613,Sed
Maruti Suzuki Dzire Zdi Plus,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,906122,Sed
Maruti Suzuki Dzire Vdi Amt,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,804622,Sed
Maruti Suzuki Dzire Zdi Plus Amt,1248,4,28.4,37.0,2,1515.0,3995.0,1735.0,5,4,73.97,190,5,2450,952622,Sed
Ford Freestyle 1.5L Tdci Ambiente,1498,4,24.4,40.0,2,1570.0,3954.0,1737.0,6,5,98.63,215,5,2490,676400,Cro
Ford Freestyle 1.5L Tdci Titanium,1498,4,24.4,40.0,2,1570.0,3954.0,1737.0,1,5,98.63,215,5,2490,790900,Hat
Ford Freestyle 1.5L Tdci Titanium Plus,1498,4,24.4,40.0,2,1570.0,3954.0,1737.0,1,5,98.63,215,5,2490,836400,Hat
Ford Freestyle 1.2L Ti-Vct Ambiente,1194,3,19.0,42.0,1,1570.0,3954.0,1737.0,1,5,94.69,120,5,2490,591400,Hat
Ford Freestyle 1.2L Ti-Vct Titanium,1194,3,19.0,42.0,1,1570.0,3954.0,1737.0,1,5,94.69,120,5,2490,721400,Hat
Ford Freestyle 1.2L Ti-Vct Titanium Plus,1194,3,19.0,42.0,1,1570.0,3954.0,1737.0,1,5,94.69,120,5,2490,756400,Hat
Ford Freestyle 1.2L Ti-Vct Trend Plus,1194,3,19.0,42.0,1,1570.0,3954.0,1737.0,6,5,94.69,120,5,2490,681400,Cro
Ford Freestyle 1.5L Tdci Trend Plus,1498,3,24.4,42.0,2,1570.0,3954.0,1737.0,6,5,98.63,215,5,2490,745900,Cro
Volkswagen Ameo Trendline 1.0L,999,3,19.0,45.0,1,1483.0,3995.0,1682.0,5,4,74.96,95,5,2470,594000,Sed
Volkswagen Ameo Comfortline 1.0L,999,3,19.0,45.0,1,1483.0,3995.0,1682.0,5,4,74.96,95,5,2470,665000,Sed
Volkswagen Ameo Highline Plus 1.0L,999,3,19.0,45.0,1,1483.0,3995.0,1682.0,5,4,74.96,95,5,2470,799900,Sed
Ford Aspire 1.2 Ti-Vct Ambiente,1194,4,20.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,598500,Sed
Ford Aspire 1.2 Ti-Vct Trend Plus,1194,4,20.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,697400,Sed
Ford Aspire 1.2 Ti-Vct Trend,1194,4,20.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,663400,Sed
Ford Aspire 1.5 Tdci Ambiente,1498,4,26.1,40.0,2,1525.0,3995.0,1704.0,5,4,98.63,215,5,2490,699400,Sed
Ford Aspire 1.5 Tdci Trend,1498,4,26.1,40.0,2,1525.0,3995.0,1704.0,5,4,98.63,215,5,2490,737400,Sed
Ford Aspire 1.5 Tdci Trend Plus,1498,4,26.1,40.0,2,1525.0,3995.0,1705.0,5,4,98.63,215,5,2490,777400,Sed
Ford Aspire 1.5 Tdci Titanium,1498,4,26.1,40.0,2,1525.0,3995.0,1704.0,5,4,98.63,215,5,2490,817400,Sed
Ford Aspire 1.5 Tdci Titanium Plus,1498,4,26.1,40.0,2,1525.0,3995.0,1704.0,5,4,98.63,215,5,2490,862400,Sed
Ford Aspire 1.2 Ti-Vct Titanium Plus,1194,4,19.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,782400,Sed
Ford Aspire 1.2 Ti-Vct Titanium,1194,4,19.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,737400,Sed
Ford Aspire 1.2 Ti-Vct Blu,1194,4,19.4,42.0,1,1525.0,3995.0,1704.0,5,4,94.69,120,5,2490,762400,Sed
Ford Aspire 1.5 Tdci Blu,1498,4,26.1,40.0,2,1525.0,3995.0,1704.0,5,4,98.63,215,5,2490,842400,Sed
Toyota Platinum Etios G,1496,4,16.78,45.0,1,1510.0,4369.0,1695.0,5,4,88.77,132,5,2550,627100,Sed
Toyota Platinum Etios V,1496,4,16.78,45.0,1,1510.0,4369.0,1695.0,5,4,88.77,132,5,2550,718600,Sed
Toyota Platinum Etios Gd,1364,4,23.59,45.0,2,1510.0,4369.0,1695.0,5,4,67.07,170,5,2550,734700,Sed
Toyota Platinum Etios Vd,1364,4,23.59,45.0,2,1510.0,4369.0,1695.0,5,4,67.07,170,5,2550,828600,Sed
Toyota Platinum Etios Vxd,1364,4,23.59,45.0,2,1510.0,4369.0,1695.0,5,4,67.07,170,5,2550,888400,Sed
Toyota Platinum Etios Vx,1496,4,16.78,45.0,1,1510.0,4369.0,1695.0,5,4,88.77,132,5,2550,778400,Sed
Toyota Platinum Etios Gx,1496,4,16.78,45.0,1,1510.0,4369.0,1695.0,5,4,88.77,132,5,2550,689600,Sed
Toyota Platinum Etios Gxd,1364,4,23.59,45.0,2,1510.0,4369.0,1695.0,5,4,67.07,170,5,2550,799600,Sed
Toyota Platinum Etios Vxd Limited Edition,1364,4,23.59,45.0,2,1510.0,4369.0,1695.0,5,4,67.07,170,5,2550,913400,Sed
Toyota Platinum Etios Vx Limited Edition,1496,4,16.78,45.0,1,1510.0,4369.0,1695.0,5,4,88.77,132,5,2550,803400,Sed
Toyota Etios Cross V,1496,4,16.78,45.0,1,1555.0,3895.0,1735.0,1,5,88.77,132,5,2460,802000,Hat
Toyota Etios Cross G,1197,4,17.71,45.0,1,1555.0,3895.0,1735.0,1,5,78.91,104,5,2460,650000,Hat
Toyota Etios Cross Vd,1364,4,23.59,45.0,2,1555.0,3895.0,1735.0,1,5,67.07,170,5,2460,797500,Hat
Toyota Etios Cross Gd,1364,4,23.59,45.0,2,1555.0,3895.0,1735.0,1,5,67.07,170,5,2460,766000,Hat
Toyota Etios Cross 1.2 X Edition,1197,4,17.71,45.0,1,1555.0,3895.0,1735.0,1,5,78.91,104,5,2460,668500,Hat
Toyota Etios Cross 1.4 X Edition,1364,4,23.59,45.0,2,1555.0,3895.0,1735.0,1,5,67.07,170,5,2460,816000,Hat
Mahindra Verito Vibe D2,1461,4,20.08,50.0,2,1540.0,3991.0,1740.0,1,5,64.11,160,5,2630,657628,Hat
Mahindra Verito Vibe D4,1461,4,20.08,50.0,2,1540.0,3991.0,1740.0,1,5,64.11,160,5,2630,685729,Hat
Mahindra Verito Vibe D6,1461,4,20.08,50.0,2,1540.0,3991.0,1740.0,1,5,64.11,160,5,2630,750428,Hat
Fiat Urban Cross 1.3 Multijet Active,1248,4,20.0,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,677618,Cro
Fiat Urban Cross 1.3 Multijet Dynamic,1248,4,20.0,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,739074,Cro
Fiat Urban Cross 1.4 T-Jet Emotion,1368,4,17.1,45.0,1,1542.0,3989.0,1706.0,6,5,138.08,210,5,2510,977516,Cro
Fiat Urban Cross 1.3 Multijet Emotion,1248,4,20.0,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,810211,Cro
Toyota Glanza G Hybrid,1197,4,23.87,37.0,1,1540.0,3995.0,1745.0,1,5,87.78,113,5,2520,721900,Hat
Toyota Glanza V,1197,4,21.01,37.0,1,1540.0,3995.0,1745.0,1,5,80.88,113,5,2520,758200,Hat
Toyota Glanza G Cvt,1197,4,19.56,37.0,1,1540.0,3995.0,1745.0,1,5,80.88,113,5,2520,829900,Hat
Toyota Glanza V Cvt,1197,4,19.56,37.0,1,1540.0,3995.0,1745.0,1,5,80.88,113,5,2520,890200,Hat
Toyota Glanza G Mt,1197,4,19.56,37.0,1,1540.0,3995.0,1745.0,1,5,80.88,113,5,2520,697900,Hat
Fiat Avventura Multijet Dynamic,1248,4,20.5,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,796132,Cro
Fiat Avventura Multijet Active,1248,4,20.5,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,711801,Cro
Fiat Avventura Multijet Emotion,1248,4,20.5,45.0,2,1542.0,3989.0,1706.0,6,5,91.73,209,5,2510,876341,Cro
Honda Jazz V Petrol,1199,4,18.2,40.0,1,1544.0,3955.0,1694.0,1,5,88.77,110,5,2530,745000,Hat
