car,displacement,cylinders,mileage,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,wheelbase,price,bts
Porsche 911 Carrera S Cabriolet,2981,6,9.1,64.0,1,1299.0,4519.0,1852.0,9,2,443.84,530,4,2450,18844000,Con
Nissan Gtr 3.8 V6,3799,6,9.0,74.0,1,1370.0,4710.0,1895.0,7,2,562.2,637,4,2780,21240272,Cou
Aston Martin Vantage Coupe,3982,8,8.0,73.0,1,1273.0,4465.0,2153.0,7,2,498.09,685,2,2704,29500000,Cou
Aston Martin Rapide Luxe,5935,12,12.9,90.5,1,1360.0,5019.0,1929.0,5,4,552.34,630,4,2989,38845823,Sed
Ferrari 812 Superfast Superfast,6496,12,14.9,92.0,1,1276.0,4657.0,1971.0,7,2,778.21,718,2,2720,52000000,Cou
Maruti Suzuki Alto 800 Tour H1,796,3,23.7,35.0,1,1475.0,3430.0,1490.0,1,5,47.34,69,5,2360,354235,Hat
Maruti Suzuki Alto 800 Tour H1 (O),796,3,24.7,35.0,1,1475.0,3395.0,1490.0,1,5,47.34,69,5,2360,356559,Hat
Hyundai Grand I10 Nios Magna 1.2 Crdi,1186,3,20.7,37.0,2,1520.0,3805.0,1680.0,1,5,73.97,190,5,2450,675090,Hat
Hyundai Grand I10 Nios Era 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,504990,Hat
Hyundai Grand I10 Nios Magna 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,589610,Hat
Hyundai Grand I10 Nios Magna Amt 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,642610,Hat
Hyundai Grand I10 Nios Sportz 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,643350,Hat
Hyundai Grand I10 Nios Sportz Amt 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,703350,Hat
Hyundai Grand I10 Nios Sportz Dual Tone 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,673350,Hat
Hyundai Grand I10 Nios Asta 1.2 Vtvt,1197,4,20.7,37.0,1,1520.0,3805.0,1680.0,1,5,81.86,114,5,2450,718950,Hat
Hyundai Grand I10 Nios Sportz Amt 1.2 Crdi,1186,3,20.7,37.0,2,1520.0,3805.0,1680.0,1,5,73.97,190,5,2450,790350,Hat
Hyundai Grand I10 Nios Asta 1.2 Crdi,1186,3,20.7,37.0,2,1520.0,3805.0,1680.0,1,5,73.97,190,5,2450,804450,Hat
Hyundai Xcent S 1.2,1197,4,20.14,43.0,1,1520.0,3995.0,1660.0,5,4,81.86,114,5,2425,643769,Sed
Hyundai Xcent S At 1.2,1197,4,17.36,43.0,1,1520.0,3995.0,1660.0,5,4,80.88,114,5,2425,733734,Sed
Hyundai Xcent Sx 1.2,1197,4,20.14,43.0,1,1520.0,3995.0,1660.0,5,4,80.88,114,5,2425,705546,Sed
Hyundai Xcent Sx 1.2 Crdi,1120,3,25.4,43.0,2,1520.0,3995.0,1660.0,5,4,73.97,190,5,2425,798558,Sed
Hyundai Xcent Sx 1.2 Crdi (O),1120,3,25.4,43.0,2,1520.0,3995.0,1660.0,5,4,71.02,190,5,2425,875358,Sed
Nissan Micra Xl (O) Cvt,1198,3,19.34,41.0,1,1530.0,3825.0,1665.0,1,5,75.95,104,5,2450,662880,Hat
Nissan Micra Xv Cvt,1198,3,19.34,41.0,1,1530.0,3825.0,1665.0,1,5,75.95,104,5,2450,781686,Hat
Nissan Micra Xld (O),1461,4,23.08,41.0,2,1525.0,3825.0,1665.0,1,5,63.12,160,5,2450,743504,Hat
Nissan Micra Xvd,1461,4,23.08,41.0,2,1525.0,3825.0,1665.0,1,5,63.12,160,5,2450,812964,Hat
Mahindra Bolero Zlx,2523,4,15.96,60.0,2,1880.0,4107.0,1745.0,4,5,62.14,195,7,2680,942263,SUV
Mahindra Bolero Slx,2523,4,15.96,60.0,2,1880.0,4107.0,1745.0,4,5,62.14,195,7,2680,917055,SUV
Mahindra Bolero Sle,2523,4,15.96,60.0,2,1880.0,4107.0,1745.0,4,5,62.14,195,7,2680,860720,SUV
Mahindra Bolero Ex,2523,4,15.96,60.0,2,1910.0,4221.0,1745.0,4,5,62.14,195,7,2794,815883,SUV
Mahindra Bolero Ex Non Ac,2523,4,15.96,60.0,2,1910.0,4221.0,1745.0,4,5,62.14,195,7,2794,773678,SUV
Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,1248,4,28.09,43.0,2,1485.0,4490.0,1730.0,5,4,87.78,200,5,2650,1102689,Sed
Maruti Suzuki Ciaz 1.3L Sigma Smart Hybrid,1248,4,28.09,43.0,2,1485.0,4490.0,1730.0,5,4,87.78,200,5,2650,919689,Sed
Maruti Suzuki Ciaz 1.3L Delta Smart Hybrid,1248,4,28.09,43.0,2,1485.0,4490.0,1730.0,5,4,87.78,200,5,2650,980689,Sed
Maruti Suzuki Ciaz 1.3L Zeta Smart Hybrid,1248,4,28.09,43.0,2,1485.0,4490.0,1730.0,5,4,87.78,200,5,2650,1062689,Sed
Maruti Suzuki Ciaz 1.5L Sigma Smart Hybrid,1462,4,21.56,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,819689,Sed
Maruti Suzuki Ciaz 1.5L Delta Smart Hybrid,1462,4,21.56,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,881689,Sed
Maruti Suzuki Ciaz 1.5L Zeta Smart Hybrid,1462,4,21.56,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,958689,Sed
Maruti Suzuki Ciaz 1.5L Alpha Smart Hybrid,1462,4,21.56,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,997689,Sed
Maruti Suzuki Ciaz 1.5L Delta At Smart Hybrid,1462,4,20.28,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,980689,Sed
Maruti Suzuki Ciaz 1.5L Zeta At Smart Hybrid,1462,4,20.28,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,1058688,Sed
Maruti Suzuki Ciaz 1.5L Alpha At Smart Hybrid,1462,4,20.28,43.0,1,1485.0,4490.0,1730.0,5,4,101.59,138,5,2650,1098689,Sed
Maruti Suzuki Ciaz 1.5L Alpha,1498,4,26.82,43.0,2,1485.0,4490.0,1730.0,5,4,92.71,225,5,2650,1138189,Sed
Maruti Suzuki Ciaz 1.5L Delta,1498,4,26.32,43.0,2,1485.0,4490.0,1730.0,5,4,92.71,225,5,2650,997689,Sed
Maruti Suzuki Ciaz 1.5L Zeta,1498,4,26.32,43.0,2,1485.0,4490.0,1730.0,5,4,92.71,225,5,2650,1109189,Sed
Skoda Rapid 1.6 Mpi Ambition,1598,4,15.41,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,998599,Sed
Skoda Rapid 1.5 Tdi Cr Active,1498,4,21.13,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1006139,Sed
Skoda Rapid 1.6 Mpi Active,1598,4,15.41,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,881916,Sed
Skoda Rapid 1.5 Tdi Cr Ambition,1498,4,21.13,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1129599,Sed
Skoda Rapid 1.5 Tdi Cr Ambition At,1498,4,21.72,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1249599,Sed
Skoda Rapid 1.6 Mpi Style At,1598,4,14.84,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,1243599,Sed
Skoda Rapid 1.5 Tdi Cr Style At,1498,4,21.72,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1399599,Sed
Skoda Rapid 1.5 Tdi Cr Style,1498,4,21.13,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1273599,Sed
Skoda Rapid 1.6 Mpi Style,1598,4,15.41,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,1115599,Sed
Skoda Rapid 1.6 Mpi Ambition At,1598,4,14.84,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,999599,Sed
Skoda Rapid Onyx Mt Petrol,1598,4,15.41,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,975599,Sed
Skoda Rapid Onyx At Petrol,1598,4,14.84,55.0,1,1466.0,4413.0,1699.0,5,4,103.56,153,5,2552,1099599,Sed
Skoda Rapid Onyx Mt Diesel,1498,4,21.13,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1158599,Sed
Skoda Rapid Onyx At Diesel,1498,4,21.72,55.0,2,1466.0,4413.0,1699.0,5,4,108.5,250,5,2552,1273599,Sed
Hyundai Creta 1.4 Crdi E Plus,1396,4,21.38,55.0,2,1630.0,4270.0,1780.0,4,5,88.77,220,5,2590,999990,SUV
Hyundai Creta 1.6 Vtvt E Plus,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,999990,SUV
Hyundai Creta 1.6 Vtvt Sx,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1232534,SUV
Hyundai Creta 1.6 Vtvt Sx (O),1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1394437,SUV
Hyundai Creta 1.6 Vtvt Sx At,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1377363,SUV
Hyundai Creta 1.6 Vtvt Sx Dual Tone,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1287041,SUV
Hyundai Creta 1.4 Crdi S,1396,4,21.38,55.0,2,1630.0,4270.0,1780.0,4,5,88.77,220,5,2590,1197919,SUV
Hyundai Creta 1.6 Crdi Sx,1582,4,19.67,55.0,2,1630.0,4270.0,1780.0,4,5,126.25,260,5,2590,1366797,SUV
Hyundai Creta 1.6 Crdi Sx (O),1582,4,19.67,55.0,2,1630.0,4270.0,1780.0,4,5,126.25,260,5,2590,1543564,SUV
Hyundai Creta 1.6 Crdi Sx At,1582,4,17.01,55.0,2,1630.0,4270.0,1780.0,4,5,126.25,260,5,2590,1527395,SUV
Hyundai Creta 1.6 Crdi Sx Dual Tone,1582,4,19.67,55.0,2,1630.0,4270.0,1780.0,4,5,126.25,260,5,2590,1421208,SUV
Hyundai Creta 1.6 Crdi S At,1582,4,17.01,55.0,2,1630.0,4270.0,1780.0,4,5,126.25,260,5,2590,1336033,SUV
Hyundai Creta 1.6 Vtvt Sx (O) Executive,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,119.34,151,5,2590,1422937,SUV
Hyundai Creta 1.6 Crdi Sx (O) Executive,1582,4,19.67,55.0,2,1630.0,4270.0,1780.0,4,5,124.28,260,5,2590,1572064,SUV
Hyundai Creta 1.4 Crdi Ex,1396,4,21.38,55.0,2,1630.0,4270.0,1780.0,4,5,88.77,220,5,2590,1107167,SUV
Hyundai Creta 1.6 Vtvt Ex,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1092192,SUV
Hyundai Creta Sports Edition Petrol,1591,4,15.29,55.0,1,1630.0,4270.0,1780.0,4,5,121.32,151,5,2590,1279983,SUV
Hyundai Creta Sports Edition Diesel,1582,4,19.67,55.0,2,1665.0,4270.0,1780.0,4,5,126.25,260,5,2590,1414247,SUV
Tata Harrier Revotorq Xe,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,4,5,138.08,350,5,2741,1345363,SUV
Tata Harrier Revotorq Xm,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,4,5,138.08,350,5,2741,1471368,SUV
Tata Harrier Revotorq Xt,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,1,5,138.08,350,5,2741,1591368,Hat
Tata Harrier Revotorq Xz,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,1,5,138.08,350,5,2741,1721368,Hat
Tata Harrier Revotorq Xz Dual Tone,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,1,5,138.08,350,5,2741,1732231,Hat
Tata Harrier Revotorq Dark Edition,1956,3,16.7,50.0,2,1706.0,4598.0,1894.0,1,5,138.08,350,5,2741,1730755,Hat
Mercedes Benz Gla-Class 200 Sport,1991,4,13.8,50.0,1,1494.0,4424.0,1804.0,4,5,180.5,300,5,2699,3438000,SUV
Mercedes Benz Gla-Class 200 D Style,2143,4,17.9,70.0,2,1494.0,4424.0,1804.0,4,5,134.14,300,5,2699,3233000,SUV
Mercedes Benz Gla-Class 200 D Sport,2143,4,17.9,70.0,2,1494.0,4424.0,1804.0,4,5,134.14,300,5,2699,3564000,SUV
Mercedes Benz Gla-Class 45 Amg 4Matic,1991,4,13.8,50.0,1,1479.0,4445.0,1804.0,4,5,355.08,450,5,2699,7784944,SUV
Mercedes Benz Gla-Class 220 D 4Matic,2143,4,17.9,70.0,2,1494.0,4424.0,1804.0,4,5,167.67,350,5,2699,3864000,SUV
Mercedes Benz Gla-Class 45 Aero Edition,1991,4,13.8,50.0,1,1479.0,4445.0,1804.0,4,5,369.87,475,5,2699,8067000,SUV
Bmw 5-Series 520D Luxury Line,1995,4,18.12,70.0,2,1464.0,4907.0,1860.0,5,4,187.4,400,5,2968,5930000,Sed
Bmw 5-Series 530D M Sport,2993,6,14.69,70.0,2,1464.0,4907.0,1860.0,5,4,254.47,560,5,2968,6680000,Sed
Bmw 5-Series 530I M Sport,1998,6,15.01,70.0,1,1464.0,4907.0,1860.0,5,4,248.55,350,5,2968,5980000,Sed
Bmw 6-Series 630D Gt Luxury Line,2993,6,16.46,88.0,2,1481.0,5219.0,2142.0,5,4,261.37,620,4,3210,6890000,Sed
Bmw 6-Series 630D Gt M Sport,2993,6,16.46,88.0,2,1481.0,5219.0,2142.0,5,4,261.37,620,4,3210,7450000,Sed
Bmw 6-Series 630I Gt Luxury Line,4395,8,7.94,70.0,1,1369.0,4894.0,1894.0,7,2,443.84,400,4,2855,6440000,Cou
Bmw 6-Series 620D Gt Luxury Line,1995,4,21.76,66.0,2,1538.0,5091.0,1902.0,5,4,185.43,400,4,3070,6440000,Sed
Porsche Macan Base,1984,6,10.8,65.0,1,1624.0,4696.0,1923.0,4,5,244.61,370,5,2807,6998000,SUV
Jaguar F-Type 5.0 Coupe R,5000,6,14.3,72.0,1,1308.0,4470.0,2042.0,7,2,542.48,680,2,2622,22155390,Cou
Jaguar F-Type Svr Coupe,5000,8,12.05,70.0,1,1311.0,4475.0,2042.0,7,2,559.24,700,2,2622,26501830,Cou
