,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
370,Maruti Suzuki,S-Presso,Lxi (O),Maruti Suzuki S-Presso Lxi (O),415000,998 cc,3.0,FWD (Front Wheel Drive),21.4,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,Manual,2380 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
371,Maruti Suzuki,S-Presso,Vxi,Maruti Suzuki S-Presso Vxi,432500,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,Manual,2380 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors,
372,Maruti Suzuki,S-Presso,Vxi (O),Maruti Suzuki S-Presso Vxi (O),438500,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,Manual,2380 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
373,Maruti Suzuki,S-Presso,Vxi Ags,Maruti Suzuki S-Presso Vxi Ags,475500,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,AMT,2380 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors,
374,Maruti Suzuki,S-Presso,Vxi+,Maruti Suzuki S-Presso Vxi+,456000,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,Manual,2380 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
375,Maruti Suzuki,S-Presso,Vxi (O) Ags,Maruti Suzuki S-Presso Vxi (O) Ags,481500,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,AMT,2380 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
376,Maruti Suzuki,S-Presso,Vxi+ Ags,Maruti Suzuki S-Presso Vxi+ Ags,499000,998 cc,3.0,FWD (Front Wheel Drive),21.7,Injection,Petrol,Hatchback,5.0,67PS@5500rpm,90Nm@3500rpm,5.0,Fabric,AMT,2380 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
377,Maruti Suzuki,Celerio,Lxi,Maruti Suzuki Celerio Lxi,426289,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,,,
378,Maruti Suzuki,Celerio,Vxi,Maruti Suzuki Celerio Vxi,465138,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,,,
379,Maruti Suzuki,Celerio,Vxi At,Maruti Suzuki Celerio Vxi At,508138,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,,,
380,Maruti Suzuki,Celerio,Zxi,Maruti Suzuki Celerio Zxi,490924,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
381,Maruti Suzuki,Celerio,Zxi (Opt),Maruti Suzuki Celerio Zxi (Opt),531279,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
383,Maruti Suzuki,Celerio,Zxi Ags,Maruti Suzuki Celerio Zxi Ags,533924,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
384,Maruti Suzuki,Celerio,Lxi Mt (O),Maruti Suzuki Celerio Lxi Mt (O),434659,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
385,Maruti Suzuki,Celerio,Vxi (O) Mt,Maruti Suzuki Celerio Vxi (O) Mt,472257,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
386,Maruti Suzuki,Celerio,Vxi (O) Ags,Maruti Suzuki Celerio Vxi (O) Ags,515257,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
387,Maruti Suzuki,Celerio,Zxi (O) Ags,Maruti Suzuki Celerio Zxi (O) Ags,543279,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
388,Hyundai,Grand I10 Prime,Era T Crdi,Hyundai Grand I10 Prime Era T Crdi,551530,1120 cc,3.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,71PS@4000rpm,16.3Nm@1500-2750RPM,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
389,Hyundai,Grand I10 Prime,Era T+ Crdi,Hyundai Grand I10 Prime Era T+ Crdi,568930,1120 cc,3.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,71PS@4000rpm,16.3Nm@1500-2750RPM,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,
390,Hyundai,Grand I10 Prime,Era T Vtvt,Hyundai Grand I10 Prime Era T Vtvt,460369,1197 cc,4.0,FWD (Front Wheel Drive),19.77,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,114Nm@4000rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
391,Hyundai,Grand I10 Prime,Era T+ Vtvt,Hyundai Grand I10 Prime Era T+ Vtvt,477511,1197 cc,4.0,FWD (Front Wheel Drive),19.77,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,114Nm@4000rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
394,Mahindra,Kuv100 Nxt,K2 6Str,Mahindra Kuv100 Nxt K2 6Str,488194,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
395,Mahindra,Kuv100 Nxt,K2+ 6Str,Mahindra Kuv100 Nxt K2+ 6Str,532184,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
396,Mahindra,Kuv100 Nxt,K2 D 6Str,Mahindra Kuv100 Nxt K2 D 6Str,590798,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
397,Mahindra,Kuv100 Nxt,K2+ D 6Str,Mahindra Kuv100 Nxt K2+ D 6Str,619243,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
398,Mahindra,Kuv100 Nxt,K4+ D 6Str,Mahindra Kuv100 Nxt K4+ D 6Str,667273,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
399,Mahindra,Kuv100 Nxt,K4+ 6Str,Mahindra Kuv100 Nxt K4+ 6Str,579645,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
400,Mahindra,Kuv100 Nxt,K6+ 6Str,Mahindra Kuv100 Nxt K6+ 6Str,631144,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
401,Mahindra,Kuv100 Nxt,K6+ D 6Str,Mahindra Kuv100 Nxt K6+ D 6Str,754548,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
402,Mahindra,Kuv100 Nxt,K8 6Str,Mahindra Kuv100 Nxt K8 6Str,693550,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
403,Mahindra,Kuv100 Nxt,K8 D 6Str,Mahindra Kuv100 Nxt K8 D 6Str,787304,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
404,Mahindra,Kuv100 Nxt,K8 6 Str Dual Tone,Mahindra Kuv100 Nxt K8 6 Str Dual Tone,701045,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
405,Mahindra,Kuv100 Nxt,K8 D 6 Str Dual Tone,Mahindra Kuv100 Nxt K8 D 6 Str Dual Tone,794800,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
406,Mahindra,Kuv100 Nxt,K4+ 5Str,Mahindra Kuv100 Nxt K4+ 5Str,573250,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
407,Mahindra,Kuv100 Nxt,K6+ 5Str,Mahindra Kuv100 Nxt K6+ 5Str,631146,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
408,Mahindra,Kuv100 Nxt,K8 5Str,Mahindra Kuv100 Nxt K8 5Str,687175,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
409,Mahindra,Kuv100 Nxt,K4+ D 5Str,Mahindra Kuv100 Nxt K4+ D 5Str,660832,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,
410,Mahindra,Kuv100 Nxt,K6+ D 5Str,Mahindra Kuv100 Nxt K6+ D 5Str,748128,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
411,Mahindra,Kuv100 Nxt,K8 D 5Str,Mahindra Kuv100 Nxt K8 D 5Str,780884,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,2.0,,Touch Sensitive
412,Mahindra,Kuv100 Nxt,K2 D 5Str Taxi,Mahindra Kuv100 Nxt K2 D 5Str Taxi,550155,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
413,Mahindra,Kuv100 Nxt,K2 D 6Str Taxi,Mahindra Kuv100 Nxt K2 D 6Str Taxi,559741,1198 cc,3.0,FWD (Front Wheel Drive),25.32,Injection,Diesel,Hatchback,5.0,77PS@3750RPM,190NM@1750-2250RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
414,Mahindra,Kuv100 Nxt,K2 5Str Cng Taxi,Mahindra Kuv100 Nxt K2 5Str Cng Taxi,524312,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,5.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
415,Mahindra,Kuv100 Nxt,K2 6Str Cng Taxi,Mahindra Kuv100 Nxt K2 6Str Cng Taxi,542913,1198 cc,3.0,FWD (Front Wheel Drive),18.15,Injection,Petrol,Hatchback,5.0,82PS@5500RPM,115NM@3500-3600RPM,6.0,Fabric,Manual,2385 mm,,Manual Air conditioning with cooling and heating,,,
416,Maruti Suzuki,Swift,Lxi,Maruti Suzuki Swift Lxi,519000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,,
417,Maruti Suzuki,Swift,Vxi,Maruti Suzuki Swift Vxi,619000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,,
418,Maruti Suzuki,Swift,Vxi Amt,Maruti Suzuki Swift Vxi Amt,666000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Automatic,2450 mm,,Manual Air conditioning with cooling and heating,2.0,,
419,Maruti Suzuki,Swift,Zxi,Maruti Suzuki Swift Zxi,678000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
420,Maruti Suzuki,Swift,Zxi Amt,Maruti Suzuki Swift Zxi Amt,725000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Automatic,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
421,Maruti Suzuki,Swift,Zxi Plus,Maruti Suzuki Swift Zxi Plus,758000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
422,Maruti Suzuki,Swift,Ldi,Maruti Suzuki Swift Ldi,599000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Manual,2430 mm,,Manual Air conditioning with cooling and heating,2.0,,
423,Maruti Suzuki,Swift,Vdi,Maruti Suzuki Swift Vdi,698000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,,
424,Maruti Suzuki,Swift,Vdi Amt,Maruti Suzuki Swift Vdi Amt,745000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Automatic,2450 mm,,Manual Air conditioning with cooling and heating,2.0,,
425,Maruti Suzuki,Swift,Zdi,Maruti Suzuki Swift Zdi,757000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Manual,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
426,Maruti Suzuki,Swift,Zdi Amt,Maruti Suzuki Swift Zdi Amt,804000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Automatic,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
427,Maruti Suzuki,Swift,Zdi Plus,Maruti Suzuki Swift Zdi Plus,838000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Manual,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
428,Maruti Suzuki,Swift,Zxi Plus Amt,Maruti Suzuki Swift Zxi Plus Amt,802000,1197 cc,4.0,FWD (Front Wheel Drive),20.4,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Automatic,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
429,Maruti Suzuki,Swift,Zdi Plus Amt,Maruti Suzuki Swift Zdi Plus Amt,884000,1248 cc,4.0,FWD (Front Wheel Drive),25.2,Injection,Diesel,Hatchback,5.0,75PS@4000rpm,190Nm@2000rpm,5.0,Fabric,Automatic,2450 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
430,Tata,Altroz,Xe Petrol,Tata Altroz Xe Petrol,529000,1199 cc,3.0,FWD (Front Wheel Drive),18.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,113Nm@3300rpm,5.0,Fabric,Manual,2501 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
431,Tata,Altroz,Xm Petrol,Tata Altroz Xm Petrol,615000,1199 cc,3.0,FWD (Front Wheel Drive),,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,113Nm@3300rpm,5.0,Fabric,Manual,2501 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
432,Tata,Altroz,Xt Petrol,Tata Altroz Xt Petrol,684000,1199 cc,3.0,FWD (Front Wheel Drive),,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,113Nm@3300rpm,5.0,Fabric,Manual,2501 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
433,Tata,Altroz,Xz Petrol,Tata Altroz Xz Petrol,744000,1199 cc,3.0,FWD (Front Wheel Drive),,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,113Nm@3300rpm,5.0,Fabric,Manual,2501 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
434,Tata,Altroz,Xz (O) Petrol,Tata Altroz Xz (O) Petrol,769000,1199 cc,3.0,FWD (Front Wheel Drive),,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,113Nm@3300rpm,5.0,Leather,Manual,2501 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
435,Tata,Altroz,Xe Diesel,Tata Altroz Xe Diesel,699000,1497 cc,4.0,FWD (Front Wheel Drive),25.0,Injection,Diesel,Hatchback,5.0,90PS@4000rpm,200Nm@1250-3000rpm,5.0,Fabric,Manual,2501 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
436,Tata,Altroz,Xm Diesel,Tata Altroz Xm Diesel,775000,1497 cc,4.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,90PS@4000rpm,200Nm@1250-3000rpm,5.0,Fabric,Manual,2501 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
437,Tata,Altroz,Xt Diesel,Tata Altroz Xt Diesel,844000,1497 cc,4.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,90PS@4000rpm,200Nm@1250-3000rpm,5.0,Fabric,Manual,2501 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
438,Tata,Altroz,Xz Diesel,Tata Altroz Xz Diesel,904000,1497 cc,4.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,90PS@4000rpm,200Nm@1250-3000rpm,5.0,Fabric,Manual,2501 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
439,Tata,Altroz,Xz (O) Diesel,Tata Altroz Xz (O) Diesel,929000,1497 cc,4.0,FWD (Front Wheel Drive),,Injection,Diesel,Hatchback,5.0,90PS@4000rpm,200Nm@1250-3000rpm,5.0,Leather,Manual,2501 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
440,Icml,Extreme,Ld Di Non Ac 9 Seater Bsiii,Icml Extreme Ld Di Non Ac 9 Seater Bsiii,642478,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,101.4PS@3600RPM,240Nm@2000-2500RPM,9.0,Fabric,Manual,2541 mm,,,,Rear sensors with camera,
441,Icml,Extreme,Ld Crdfi Non Ac 9 Seater Bsiv,Icml Extreme Ld Crdfi Non Ac 9 Seater Bsiv,589678,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,,,Rear sensors with camera,
442,Icml,Extreme,Ld Di Ps Ac 9 Seater Bsiii,Icml Extreme Ld Di Ps Ac 9 Seater Bsiii,689761,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
443,Icml,Extreme,Ld Crdfi Ps Ac 9 Seater Bsiii,Icml Extreme Ld Crdfi Ps Ac 9 Seater Bsiii,788177,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
444,Icml,Extreme,Sd Di 9 Seater Bsiii,Icml Extreme Sd Di 9 Seater Bsiii,2650777,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,101.4PS@3600RPM,240Nm@2000-2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
445,Icml,Extreme,Ld Crdfi Ps Ac 9 Seater Bsiv,Icml Extreme Ld Crdfi Ps Ac 9 Seater Bsiv,628072,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
446,Icml,Extreme,Vd Crdfi 7 Seater Bsiii,Icml Extreme Vd Crdfi 7 Seater Bsiii,900967,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,7.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
447,Icml,Extreme,Vd Di 7 Seater Bsiii,Icml Extreme Vd Di 7 Seater Bsiii,1465148,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,101.4PS@3600RPM,240Nm@2000-2500RPM,7.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
448,Icml,Extreme,Sd Crdfi 9 Seater Bsiv,Icml Extreme Sd Crdfi 9 Seater Bsiv,552890,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
449,Icml,Extreme,Vd Crdfi 7 Seater Bsiv,Icml Extreme Vd Crdfi 7 Seater Bsiv,927689,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,7.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
450,Icml,Extreme,Sd Crdfi 9 Seater Bsiii,Icml Extreme Sd Crdfi 9 Seater Bsiii,835275,1994 cc,4.0,RWD (Rear Wheel Drive),11.12,Injection,Diesel,SUV,5.0,122PS@4000RPM,270Nm@2500RPM,9.0,Fabric,Manual,2541 mm,,Manual Air conditioning with cooling and heating,,Rear sensors with camera,
451,Tata,Tigor,Revotron Xe,Tata Tigor Revotron Xe,575000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Sedan,4.0,86PS@6000rpm,113Nm@3300rpm,5.0,Vinyl,Manual,2450 mm,,Manual Air conditioning with cooling and heating,,,
452,Tata,Tigor,Revotron Xm,Tata Tigor Revotron Xm,610000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Sedan,4.0,86PS@6000rpm,113Nm@3300rpm,5.0,Vinyl,Manual,2450 mm,,Manual Air conditioning with cooling and heating,,,Touch Sensitive
453,Tata,Tigor,Revotron Xz,Tata Tigor Revotron Xz,650000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Sedan,4.0,86PS@6000rpm,113Nm@3300rpm,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Yes
454,Tata,Tigor,Revotron Xz Plus,Tata Tigor Revotron Xz Plus,699000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Sedan,4.0,86PS@6000rpm,113Nm@3300rpm,5.0,Vinyl,Manual,2450 mm,,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
455,Tata,Tigor,Revotron Xma,Tata Tigor Revotron Xma,660000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Sedan,4.0,86PS@6000rpm,113Nm@3300rpm,5.0,Vinyl,AMT,2450 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
