,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
916,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,Hyundai Grand I10 1.2 Kappa Vtvt Sportz At,705538,1197 cc,4.0,FWD (Front Wheel Drive),17.49,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,114Nm@4000rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
917,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,Hyundai Grand I10 1.2 Kappa Vtvt Sportz Dual Tone,640537,1197 cc,4.0,FWD (Front Wheel Drive),19.77,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,114Nm@4000rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
919,Fiat,Linea Classic,1.3 Multijet,Fiat Linea Classic 1.3 Multijet,751203,1248 cc,4.0,FWD (Front Wheel Drive),19.5,Injection,Diesel,Sedan,4.0,76PS@4000RPM,197Nm@1750RPM,5.0,Vinyl,Manual,2603 mm,,Manual Air conditioning with cooling and heating,,,
920,Fiat,Linea Classic,1.4,Fiat Linea Classic 1.4,646336,1368 cc,4.0,FWD (Front Wheel Drive),14.9,Injection,Petrol,Sedan,4.0,90PS@6000rpm,115Nm@4500RPM,5.0,Vinyl,Manual,2603 mm,,Manual Air conditioning with cooling and heating,,,
921,Fiat,Linea Classic,Plus 1.3 Multijet,Fiat Linea Classic Plus 1.3 Multijet,808558,1248 cc,4.0,FWD (Front Wheel Drive),19.5,Injection,Diesel,Sedan,4.0,76PS@4000RPM,197Nm@1750RPM,5.0,Fabric,Manual,2603 mm,,Manual Air conditioning with cooling and heating,,,
922,Nissan,Sunny,Xe Petrol,Nissan Sunny Xe Petrol,707025,1498 cc,4.0,FWD (Front Wheel Drive),16.95,Injection,Petrol,Sedan,4.0,99PS@6000rpm,134Nm@4000rpm,5.0,Fabric,Manual,2600 mm,,Manual Air conditioning with cooling and heating,1.0,,
923,Nissan,Sunny,Xl Petrol,Nissan Sunny Xl Petrol,836461,1498 cc,4.0,FWD (Front Wheel Drive),16.95,Injection,Petrol,Sedan,4.0,99PS@6000rpm,134Nm@4000rpm,5.0,Fabric,Manual,2600 mm,,Fully automatic climate control,1.0,Rear sensors,
924,Nissan,Sunny,Xl Diesel,Nissan Sunny Xl Diesel,912534,1461 cc,4.0,FWD (Front Wheel Drive),22.71,Injection,Diesel,Sedan,4.0,86Ps@3750rpm,200Nm@2000rpm,5.0,Fabric,Manual,2600 mm,,Fully automatic climate control,1.0,Rear sensors,
925,Nissan,Sunny,Xv Diesel,Nissan Sunny Xv Diesel,993997,1461 cc,4.0,FWD (Front Wheel Drive),22.71,Injection,Diesel,Sedan,4.0,86Ps@3750rpm,200Nm@2000rpm,5.0,Leather,Manual,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
926,Nissan,Sunny,Xe Diesel,Nissan Sunny Xe Diesel,860997,1461 cc,4.0,FWD (Front Wheel Drive),22.71,Injection,Diesel,Sedan,4.0,86Ps@3750rpm,200Nm@2000rpm,5.0,Fabric,Manual,2600 mm,,Manual Air conditioning with cooling and heating,1.0,,
927,Nissan,Sunny,Xv Cvt,Nissan Sunny Xv Cvt,993997,1498 cc,4.0,FWD (Front Wheel Drive),17.97,Injection,Petrol,Sedan,4.0,101PS@5600rpm,134Nm@4000rpm,5.0,Leather,Automatic,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
928,Nissan,Sunny,Special Edition Diesel,Nissan Sunny Special Edition Diesel,877285,1461 cc,4.0,FWD (Front Wheel Drive),22.71,Injection,Diesel,Sedan,4.0,86Ps@3750rpm,200Nm@2000rpm,5.0,Fabric,Manual,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,
929,Maruti Suzuki,Ertiga,Lxi,Maruti Suzuki Ertiga Lxi,759000,1462 cc,4.0,FWD (Front Wheel Drive),19.34,Injection,Petrol,MPV,5.0,103Bhp@6000rpm,138Nm@4400rpm,7.0,Fabric,Manual,2740 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
930,Maruti Suzuki,Ertiga,Zxi,Maruti Suzuki Ertiga Zxi,917000,1462 cc,4.0,FWD (Front Wheel Drive),19.34,Injection,Petrol,MPV,5.0,104bhp@6000rpm,138Nm@4400rpm,7.0,Fabric,Manual,2740 mm,Yes,Fully automatic climate control,2.0,Rear sensors,Touch Sensitive
931,Maruti Suzuki,Ertiga,Vxi At,Maruti Suzuki Ertiga Vxi At,936000,1462 cc,4.0,FWD (Front Wheel Drive),18.69,Injection,Petrol,MUV,5.0,103Bhp@6000rpm,130Nm@4400rpm,7.0,Fabric,Automatic,2740 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
932,Maruti Suzuki,Ertiga,Zxi Plus,Maruti Suzuki Ertiga Zxi Plus,971000,1462 cc,4.0,FWD (Front Wheel Drive),19.34,Injection,Petrol,MUV,5.0,103Bhp@6000rpm,130Nm@4400rpm,7.0,Fabric,Manual,2740 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
933,Maruti Suzuki,Ertiga,Vxi,Maruti Suzuki Ertiga Vxi,834000,1462 cc,4.0,FWD (Front Wheel Drive),19.34,Injection,Petrol,MUV,5.0,103Bhp@6000rpm,180Nm@4400rpm,7.0,Fabric,Manual,2740 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
934,Maruti Suzuki,Ertiga,Zxi At,Maruti Suzuki Ertiga Zxi At,1013000,1462 cc,4.0,FWD (Front Wheel Drive),18.69,Injection,Petrol,MPV,5.0,104bhp@6000rpm,138Nm@4400rpm,7.0,Fabric,Automatic,2740 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
935,Maruti Suzuki,Ertiga,1.5L Vdi,Maruti Suzuki Ertiga 1.5L Vdi,986689,1498 cc,4.0,FWD (Front Wheel Drive),24.2,Injection,Diesel,MPV,5.0,95Bhp@4400rpm,225Nm@1750rpm,7.0,Fabric,Manual,2740 mm,,Fully automatic climate control,2.0,Rear sensors,Yes
936,Maruti Suzuki,Ertiga,1.5L Zdi,Maruti Suzuki Ertiga 1.5L Zdi,1069689,1498 cc,4.0,FWD (Front Wheel Drive),24.2,Injection,Diesel,MPV,5.0,95Bhp@4400rpm,225Nm@1750rpm,7.0,Fabric,Manual,2740 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
937,Maruti Suzuki,Ertiga,1.5L Zdi Plus,Maruti Suzuki Ertiga 1.5L Zdi Plus,1120689,1498 cc,4.0,FWD (Front Wheel Drive),24.2,Injection,Diesel,MPV,5.0,95Bhp@4400rpm,225Nm@1750rpm,7.0,Fabric,Manual,2740 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
939,Maruti Suzuki,Baleno Rs,Rs 1.0,Maruti Suzuki Baleno Rs Rs 1.0,788913,998 cc,3.0,FWD (Front Wheel Drive),21.4,Injection,Petrol,Hatchback,5.0,102PS@5500rpm,150Nm@1700-4500RPM,5.0,Leather,Manual,2520 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
