,make,model,variant,car,price,displacement,cylinders,drivetrain,mileage,fuel_system,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,seat_material,type,wheelbase,bts,cluster
293,Bentley,Bentayga,V8,Bentley Bentayga V8,37542069,3996,12,AWD (All Wheel Drive),8.77,PGM - Fi,85 litres,Petrol,1742 mm,5140 mm,1998 mm,SUV,5,542.48,770,5,Leather,Automatic,2995,SUV,5
294,Ferrari,458 Speciale,Coupe,Ferrari 458 Speciale Coupe,42531500,4497,8,AWD (All Wheel Drive),9.0,Injection,86 litres,Petrol,1203 mm,4571 mm,1951 mm,Coupe,2,596.72,540,2,Leather,Automatic,2650,Cou,5
295,Rolls-Royce,Ghost Series Ii,6.6,Rolls-Royce Ghost Series Ii 6.6,46709733,6593,12,RWD (Rear Wheel Drive),17.3,Injection,82.5 litres,Petrol,1550 mm,5399 mm,1948 mm,Sedan,4,555.3,780,5,Leather,Automatic,3295,Sed,5
296,Rolls-Royce,Ghost Series Ii,Ewb,Rolls-Royce Ghost Series Ii Ewb,53247201,6592,12,RWD (Rear Wheel Drive),7.29,Injection,82.5 litres,Petrol,1550 mm,5569 mm,1948 mm,Sedan,4,562.2,780,5,Leather,Automatic,3295,Sed,5
297,Rolls-Royce,Wraith,Coupe,Rolls-Royce Wraith Coupe,50025840,6592,12,AWD (All Wheel Drive),10.2,Injection,83 litres,Petrol,1507 mm,5269 mm,1947 mm,Coupe,2,616.45,800,4,Leather,Automatic,3112,Cou,5
298,Bentley,Mulsanne,Sedan,Bentley Mulsanne Sedan,52571294,6752,8,RWD (Rear Wheel Drive),9.5,Injection,90 litres,Petrol,1521 mm,5575 mm,2208 mm,Sedan,4,505.0,1020,4,Leather,Automatic,3266,Sed,5
299,Rolls-Royce,Phantom Coupe,6.8 L,Rolls-Royce Phantom Coupe 6.8 L,77312661,6749,12,RWD (Rear Wheel Drive),22.8,Injection,100 litres,Petrol,1598 mm,5612 mm,1987 mm,Coupe,2,453.71,720,4,Leather,Automatic,3320,Cou,2
300,Maruti Suzuki,Alto,Std,Maruti Suzuki Alto Std,294800,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,47.34,69,5,Fabric,Manual,2360,Hat,1
301,Maruti Suzuki,Alto,Std (O),Maruti Suzuki Alto Std (O),299900,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,47.34,69,5,Fabric,Manual,2360,Hat,1
302,Maruti Suzuki,Alto,Lxi,Maruti Suzuki Alto Lxi,352900,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,46.36,69,5,Fabric,Manual,2360,Hat,1
303,Maruti Suzuki,Alto,Lxi (O),Maruti Suzuki Alto Lxi (O),357200,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,47.34,69,5,Fabric,Manual,2360,Hat,1
304,Maruti Suzuki,Alto,Vxi,Maruti Suzuki Alto Vxi,376100,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,47.34,69,5,Fabric,Manual,2360,Hat,1
305,Maruti Suzuki,Alto,Vxi Plus,Maruti Suzuki Alto Vxi Plus,389600,796,3,FWD (Front Wheel Drive),22.05,Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,47.34,69,5,Fabric,Manual,2360,Hat,1
306,Maruti Suzuki,S-Presso,Std,Maruti Suzuki S-Presso Std,370500,998,3,FWD (Front Wheel Drive),21.4,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
307,Maruti Suzuki,S-Presso,Std (O),Maruti Suzuki S-Presso Std (O),376500,998,3,FWD (Front Wheel Drive),21.4,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
308,Maruti Suzuki,S-Presso,Lxi,Maruti Suzuki S-Presso Lxi,409000,998,3,FWD (Front Wheel Drive),21.4,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
309,Maruti Suzuki,S-Presso,Lxi (O),Maruti Suzuki S-Presso Lxi (O),415000,998,3,FWD (Front Wheel Drive),21.4,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
310,Maruti Suzuki,S-Presso,Vxi,Maruti Suzuki S-Presso Vxi,432500,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
311,Maruti Suzuki,S-Presso,Vxi (O),Maruti Suzuki S-Presso Vxi (O),438500,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
312,Maruti Suzuki,S-Presso,Vxi Ags,Maruti Suzuki S-Presso Vxi Ags,475500,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,AMT,2380,Hat,1
313,Maruti Suzuki,S-Presso,Vxi+,Maruti Suzuki S-Presso Vxi+,456000,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,Manual,2380,Hat,1
314,Maruti Suzuki,S-Presso,Vxi (O) Ags,Maruti Suzuki S-Presso Vxi (O) Ags,481500,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,AMT,2380,Hat,1
315,Maruti Suzuki,S-Presso,Vxi+ Ags,Maruti Suzuki S-Presso Vxi+ Ags,499000,998,3,FWD (Front Wheel Drive),21.7,Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,66.08,90,5,Fabric,AMT,2380,Hat,1
316,Maruti Suzuki,Celerio,Lxi,Maruti Suzuki Celerio Lxi,426289,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
317,Maruti Suzuki,Celerio,Vxi,Maruti Suzuki Celerio Vxi,465138,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
318,Maruti Suzuki,Celerio,Vxi At,Maruti Suzuki Celerio Vxi At,508138,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Automatic,2425,Hat,1
319,Maruti Suzuki,Celerio,Zxi,Maruti Suzuki Celerio Zxi,490924,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
320,Maruti Suzuki,Celerio,Zxi (Opt),Maruti Suzuki Celerio Zxi (Opt),531279,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
321,Maruti Suzuki,Celerio,Zxi Ags,Maruti Suzuki Celerio Zxi Ags,533924,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Automatic,2425,Hat,1
322,Maruti Suzuki,Celerio,Lxi Mt (O),Maruti Suzuki Celerio Lxi Mt (O),434659,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
323,Maruti Suzuki,Celerio,Vxi (O) Mt,Maruti Suzuki Celerio Vxi (O) Mt,472257,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Manual,2425,Hat,1
324,Maruti Suzuki,Celerio,Vxi (O) Ags,Maruti Suzuki Celerio Vxi (O) Ags,515257,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Automatic,2425,Hat,1
325,Maruti Suzuki,Celerio,Zxi (O) Ags,Maruti Suzuki Celerio Zxi (O) Ags,543279,998,3,FWD (Front Wheel Drive),23.1,Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,67.07,90,5,Fabric,Automatic,2425,Hat,1
326,Hyundai,Grand I10 Prime,Era T Vtvt,Hyundai Grand I10 Prime Era T Vtvt,460369,1197,4,FWD (Front Wheel Drive),19.77,Injection,43 litres,Petrol,1520 mm,3765 mm,1660 mm,Hatchback,5,81.86,114,5,Fabric,Manual,2425,Hat,1
327,Hyundai,Grand I10 Prime,Era T+ Vtvt,Hyundai Grand I10 Prime Era T+ Vtvt,477511,1197,4,FWD (Front Wheel Drive),19.77,Injection,43 litres,Petrol,1520 mm,3765 mm,1660 mm,Hatchback,5,81.86,114,5,Fabric,Manual,2425,Hat,1
328,Mahindra,Kuv100 Nxt,K2 6Str,Mahindra Kuv100 Nxt K2 6Str,488194,1198,3,FWD (Front Wheel Drive),18.15,Injection,35 litres,Petrol,1655 mm,3700 mm,1735 mm,Hatchback,5,80.88,115,6,Fabric,Manual,2385,Hat,1
329,Mahindra,Kuv100 Nxt,K2+ 6Str,Mahindra Kuv100 Nxt K2+ 6Str,532184,1198,3,FWD (Front Wheel Drive),18.15,Injection,35 litres,Petrol,1655 mm,3700 mm,1735 mm,Hatchback,5,80.88,115,6,Fabric,Manual,2385,Hat,1
330,Mahindra,Kuv100 Nxt,K2 D 6Str,Mahindra Kuv100 Nxt K2 D 6Str,590798,1198,3,FWD (Front Wheel Drive),25.32,Injection,35 litres,Diesel,1655 mm,3700 mm,1735 mm,Hatchback,5,75.95,190,6,Fabric,Manual,2385,Hat,1
